stamp_et,symbol,tenor_d,expiry,dte,spot,atm_iv,rr25,call_vol,put_vol,call_oi,put_oi
2026-08-11_1151,AAPL,30,2026-09-18,38,307.33,23.65,-0.65,8911,3285,345096,233332
2026-08-11_1151,AAPL,60,2026-10-16,66,307.33,24.07,-1.15,9263,1304,249055,126634
2026-08-11_1151,AAPL,91,2026-11-20,101,307.33,25.75,-1.4,2387,769,154517,92241
2026-08-11_1151,AAPL,182,2027-02-19,192,307.33,26.2,-1.82,1529,730,31699,23588
2026-08-11_1151,AMD,30,2026-09-18,38,468.63,56.5,1.12,12486,2774,109157,186552
2026-08-11_1151,AMD,60,2026-10-16,66,468.63,56.69,1.36,1548,1874,49145,56947
2026-08-11_1151,AMD,91,2026-11-20,101,468.63,59.34,1.61,1092,3158,61059,63623
2026-08-11_1151,AMD,182,2027-02-19,192,468.63,59.81,1.72,638,1125,5178,10717
2026-08-11_1151,AMZN,30,2026-09-18,38,272.07,28.88,-0.85,21794,4555,341977,223059
2026-08-11_1151,AMZN,60,2026-10-16,66,272.07,30.05,-0.86,3672,2728,147291,120503
2026-08-11_1151,AMZN,91,2026-11-20,101,272.07,34.66,-1.02,1524,1126,184619,79766
2026-08-11_1151,AMZN,182,2027-02-19,192,272.07,35.28,-0.9,469,734,14008,11965
2026-08-11_1151,CRWV,30,2026-09-18,38,88.75,91.61,0.7,5691,4810,256071,108394
2026-08-11_1151,CRWV,60,2026-10-16,66,88.75,88.84,0.58,3768,971,97606,60020
2026-08-11_1151,CRWV,91,2026-11-20,101,88.75,89.72,0.18,948,581,43425,38638
2026-08-11_1151,CRWV,182,2027-02-19,192,88.75,84.76,,318,464,2105,2402
2026-08-11_1151,DRAM,30,2026-09-18,38,50.82,69.44,-2.24,8145,2449,269806,158008
2026-08-11_1151,DRAM,60,2026-10-16,66,50.82,69.85,2.27,4502,1251,95919,84507
2026-08-11_1151,DRAM,91,2026-11-20,101,50.82,69.52,3.03,4043,294,63192,33858
2026-08-11_1151,DRAM,182,2027-02-19,192,50.82,71.62,0.24,318,583,3436,7643
2026-08-11_1151,EEM,30,2026-09-18,38,65.4,26.2,-0.72,11016,19100,515256,911247
2026-08-11_1151,EEM,60,2026-10-16,66,65.4,26.97,3.22,3484,4131,106293,164277
2026-08-11_1151,EEM,91,2026-11-20,101,65.4,27.39,0.53,7990,5470,12123,44538
2026-08-11_1151,EEM,182,2027-01-15,157,65.4,27.41,-1.1,999,5156,175341,251551
2026-08-11_1151,FXI,30,2026-09-18,38,35.66,19.9,1.16,3610,3421,468294,411872
2026-08-11_1151,FXI,60,2026-10-16,66,35.66,20.43,1.63,2952,717,84457,70201
2026-08-11_1151,FXI,91,2026-11-20,101,35.66,31.89,2.76,203,2329,92325,104856
2026-08-11_1151,FXI,182,2027-02-19,192,35.66,32.42,-9.98,145,314,33914,16584
2026-08-11_1151,GDX,30,2026-09-18,38,89.76,45.37,2.18,2593,5722,210984,312410
2026-08-11_1151,GDX,60,2026-10-16,66,89.76,46.5,6.74,2075,708,29816,33099
2026-08-11_1151,GDX,91,2026-11-20,101,89.76,44.43,2.73,2128,297,13463,119899
2026-08-11_1151,GDX,182,2027-01-15,157,89.76,44.03,1.85,1751,5081,121072,176838
2026-08-11_1151,GLD,30,2026-09-18,38,401.47,24.58,1.9,17563,7027,1237060,207620
2026-08-11_1151,GLD,60,2026-10-16,66,401.47,24.4,1.95,6190,1926,115541,89699
2026-08-11_1151,GLD,91,2026-11-20,101,401.47,24.32,1.85,1743,10160,300164,305947
2026-08-11_1151,GLD,182,2027-01-15,157,401.47,24.0,1.86,5861,7321,414279,367926
2026-08-11_1151,GOOGL,30,2026-09-18,38,349.36,29.77,-0.29,9212,3481,204023,163922
2026-08-11_1151,GOOGL,60,2026-10-16,66,349.36,31.02,-0.34,4906,829,180814,69707
2026-08-11_1151,GOOGL,91,2026-11-20,101,349.36,33.49,0.05,1415,525,73856,51634
2026-08-11_1151,GOOGL,182,2027-02-19,192,349.36,34.34,-0.38,374,802,5676,12906
2026-08-11_1151,IBIT,30,2026-09-18,38,35.91,35.53,-3.32,7868,8341,565254,364860
2026-08-11_1151,IBIT,60,2026-10-16,66,35.91,37.4,-4.09,4258,2046,202322,172731
