ticker,sector,bucket_42d,response_42d_pct,t_42d,hit_42d_pct,n_high_days,response_63d_pct,t_63d
ALAB,Technology,neutral,8.06,1.20,69,110,20.64,2.80
MSTR,Technology,neutral,5.86,1.18,50,574,3.90,0.53
PLTR,Technology,responder,5.78,1.98,57,474,6.29,1.46
PDD,Cons. Discretionary,responder,3.94,1.78,52,567,5.79,1.60
CRWV,Technology,neutral,2.66,0.60,48,48,5.13,1.35
TSLA,Cons. Discretionary,neutral,2.61,0.93,53,549,0.36,0.11
ABNB,Cons. Discretionary,responder,2.28,1.63,50,420,1.79,1.17
VRTX,Health Care,responder,2.19,2.32,55,630,2.63,2.03
NFLX,Comm. Services,neutral,1.71,1.18,57,503,1.59,0.71
AXON,Industrials,neutral,1.49,1.03,57,589,0.64,0.30
TXN,Technology,responder,1.39,1.90,48,600,1.58,1.66
ORLY,Cons. Discretionary,neutral,1.38,1.38,59,538,1.23,0.83
LRCX,Technology,neutral,1.30,1.38,61,560,1.37,1.05
ODFL,Industrials,responder,1.30,1.52,58,596,1.63,1.48
TTWO,Comm. Services,responder,1.14,1.64,51,603,0.58,0.78
AEP,Utilities,neutral,1.11,1.41,44,603,1.62,1.78
REGN,Health Care,neutral,1.06,0.73,45,586,1.21,0.68
IDXX,Health Care,neutral,1.04,1.28,52,613,2.56,2.16
CEG,Utilities,neutral,1.02,0.77,60,356,1.55,1.23
AMGN,Health Care,neutral,0.89,0.87,45,614,0.34,0.25
CPRT,Industrials,neutral,0.78,0.79,57,536,0.53,0.41
MELI,Cons. Discretionary,neutral,0.78,0.76,50,571,0.89,0.66
FANG,Energy,neutral,0.68,0.51,46,629,-0.51,-0.30
PYPL,Financials,neutral,0.63,0.60,40,572,-0.33,-0.24
CTAS,Industrials,neutral,0.60,0.80,58,561,1.17,1.12
SNPS,Technology,neutral,0.55,0.83,57,581,0.73,0.99
PAYX,Industrials,neutral,0.55,0.90,46,608,0.53,0.62
MPWR,Technology,neutral,0.49,0.54,61,587,0.81,0.90
GILD,Health Care,neutral,0.47,0.42,35,684,0.11,0.08
ROP,Technology,neutral,0.40,0.45,37,618,0.53,0.56
CSX,Industrials,neutral,0.36,0.62,44,550,0.21,0.31
MSFT,Technology,neutral,0.35,0.64,57,538,1.08,1.66
MCHP,Technology,neutral,0.34,0.35,41,574,0.26,0.21
INTC,Technology,neutral,0.33,0.14,44,583,2.66,0.72
MRVL,Technology,neutral,0.32,0.17,52,531,0.80,0.41
CDNS,Technology,neutral,0.27,0.54,56,610,0.38,0.61
DASH,Cons. Discretionary,neutral,0.25,0.14,55,388,-0.67,-0.34
COST,Cons. Staples,neutral,0.21,0.29,60,568,0.52,0.43
DXCM,Health Care,neutral,0.19,0.15,47,592,-0.52,-0.29
CSCO,Technology,neutral,0.15,0.19,42,571,0.33,0.28
ADBE,Technology,neutral,0.09,0.11,44,604,1.35,1.22
PCAR,Industrials,neutral,0.03,0.05,46,617,0.52,0.61
