ticker,added,removed
AAL,2018-08-01,2020-04-20
AAPL,2018-08-01,
ABNB,2021-12-20,
ADBE,2018-08-01,
ADI,2018-08-01,
ADP,2018-08-01,
ADSK,2018-08-01,
AEP,2020-12-21,
ALAB,2026-06-22,
ALGN,2018-08-01,2023-12-18
ALNY,2025-12-22,
ALXN,2018-08-01,2021-07-21
AMAT,2018-08-01,
AMD,2018-12-24,
AMGN,2018-08-01,
AMZN,2018-08-01,
ANSS,2019-12-23,2025-07-17
APP,2024-11-18,
ARM,2024-06-24,
ASML,2018-08-01,
ATVI,2018-08-01,2023-07-17
AVGO,2018-08-01,
AXON,2024-12-23,
AZN,2022-02-22,2026-01-20
BIDU,2018-08-01,2022-12-19
BIIB,2018-08-01,2025-12-22
BKNG,2018-08-01,
BKR,2022-12-19,
BMRN,2018-08-01,2020-12-21
CA,2018-08-01,2018-11-05
CCEP,2023-12-18,
CDNS,2018-08-01,
CDW,2019-12-23,2021-12-20
CDW,2023-12-18,2025-12-22
CEG,2022-02-02,
CELG,2018-08-01,2019-11-21
CERN,2018-08-01,2021-12-20
CHKP,2018-08-01,2021-12-20
CHTR,2018-08-01,2026-06-22
CMCSA,2018-08-01,
COST,2018-08-01,
CPRT,2019-12-23,
CRWD,2021-08-26,
CRWV,2026-06-22,
CSCO,2018-08-01,
CSGP,2019-12-23,2020-07-20
CSGP,2022-12-19,2026-05-18
CSX,2018-08-01,
CTAS,2018-08-01,
CTRP,2018-08-01,2019-11-05
CTSH,2018-08-01,2026-06-22
CTXS,2018-08-01,2020-12-21
DASH,2023-12-18,
DDOG,2021-12-20,
DLTR,2018-08-01,2024-11-18
DOCU,2020-06-22,2022-12-19
DXCM,2020-04-20,
EA,2018-08-01,2026-08-04
EBAY,2018-08-01,2023-12-18
ENPH,2022-11-21,2023-12-18
ESRX,2018-08-01,2018-12-24
EXC,2019-11-21,
EXPE,2018-08-01,2020-12-21
FANG,2022-12-19,
FAST,2018-08-01,
FB,2018-08-01,2022-06-09
FER,2025-12-22,
FISV,2018-08-01,2023-06-07
FOX,2018-08-01,2021-12-20
FOXA,2018-08-01,2021-12-20
FTNT,2021-12-20,
GEHC,2023-06-07,
GFS,2022-12-19,2025-12-22
GILD,2018-08-01,
GOOG,2018-08-01,
