ticker,report_date,timing
AAPL,2023-08-03,amc
AAPL,2023-11-02,amc
AAPL,2024-02-01,amc
AAPL,2024-05-02,amc
AAPL,2024-08-01,amc
AAPL,2024-10-31,amc
AAPL,2025-01-30,amc
AAPL,2025-05-01,amc
AAPL,2025-07-31,amc
AAPL,2025-10-30,amc
AAPL,2026-01-29,amc
MSFT,2023-07-25,amc
MSFT,2023-10-24,amc
MSFT,2024-01-30,amc
MSFT,2024-04-25,amc
MSFT,2024-07-30,amc
MSFT,2024-10-30,amc
MSFT,2025-01-29,amc
MSFT,2025-04-30,amc
MSFT,2025-07-30,amc
MSFT,2025-10-29,amc
MSFT,2026-01-28,amc
NVDA,2023-08-23,amc
NVDA,2023-11-21,amc
NVDA,2024-02-21,amc
NVDA,2024-05-22,amc
NVDA,2024-08-28,amc
NVDA,2024-11-20,amc
NVDA,2025-02-26,amc
NVDA,2025-05-28,amc
NVDA,2025-08-27,amc
NVDA,2025-11-19,amc
AMZN,2023-08-03,amc
AMZN,2023-10-26,amc
AMZN,2024-02-01,amc
AMZN,2024-04-30,amc
AMZN,2024-08-01,amc
AMZN,2024-10-31,amc
AMZN,2025-02-06,amc
AMZN,2025-05-01,amc
AMZN,2025-07-31,amc
AMZN,2025-10-30,amc
GOOGL,2023-07-25,amc
GOOGL,2023-10-24,amc
GOOGL,2024-01-30,amc
GOOGL,2024-04-25,amc
GOOGL,2024-07-23,amc
GOOGL,2024-10-29,amc
GOOGL,2025-02-04,amc
GOOGL,2025-04-24,amc
GOOGL,2025-07-23,amc
GOOGL,2025-10-28,amc
META,2023-07-26,amc
META,2023-10-25,amc
META,2024-02-01,amc
META,2024-04-24,amc
META,2024-07-31,amc
META,2024-10-30,amc
META,2025-01-29,amc
META,2025-04-30,amc
META,2025-07-30,amc
META,2025-10-29,amc
TSLA,2023-07-19,amc
TSLA,2023-10-18,amc
TSLA,2024-01-24,amc
TSLA,2024-04-23,amc
TSLA,2024-07-23,amc
TSLA,2024-10-23,amc
TSLA,2025-01-29,amc
TSLA,2025-04-22,amc
TSLA,2025-07-23,amc
TSLA,2025-10-22,amc
AVGO,2023-08-31,amc
AVGO,2023-12-07,amc
AVGO,2024-03-07,amc
AVGO,2024-06-12,amc
AVGO,2024-09-05,amc
AVGO,2024-12-12,amc
AVGO,2025-03-06,amc
AVGO,2025-06-05,amc
AVGO,2025-09-04,amc
AVGO,2025-12-11,amc
NFLX,2023-07-19,amc
NFLX,2023-10-18,amc
NFLX,2024-01-23,amc
NFLX,2024-04-18,amc
NFLX,2024-07-18,amc
NFLX,2024-10-17,amc
NFLX,2025-01-21,amc
NFLX,2025-04-17,amc
NFLX,2025-07-17,amc
NFLX,2025-10-21,amc
AMD,2023-08-01,amc
AMD,2023-10-31,amc
AMD,2024-01-30,amc
AMD,2024-04-30,amc
AMD,2024-07-30,amc
AMD,2024-10-29,amc
AMD,2025-02-04,amc
AMD,2025-05-06,amc
AMD,2025-08-05,amc
AMD,2025-11-04,amc
