ticker,report_date,filing_date,accept_et,timing
AAPL,2018-02-01,2018-02-01,2018-02-01 16:30 ET,amc
AAPL,2018-05-01,2018-05-01,2018-05-01 16:30 ET,amc
AAPL,2018-07-31,2018-07-31,2018-07-31 16:30 ET,amc
AAPL,2018-11-01,2018-11-01,2018-11-01 16:30 ET,amc
AAPL,2019-01-29,2019-01-29,2019-01-29 16:30 ET,amc
AAPL,2019-04-30,2019-04-30,2019-04-30 16:30 ET,amc
AAPL,2019-07-30,2019-07-30,2019-07-30 16:30 ET,amc
AAPL,2019-10-30,2019-10-30,2019-10-30 16:30 ET,amc
AAPL,2020-01-28,2020-01-28,2020-01-28 16:30 ET,amc
AAPL,2020-04-30,2020-04-30,2020-04-30 16:30 ET,amc
AAPL,2020-07-30,2020-07-30,2020-07-30 18:55 ET,amc
AAPL,2020-10-29,2020-10-29,2020-10-29 16:30 ET,amc
AAPL,2021-01-27,2021-01-27,2021-01-27 16:30 ET,amc
AAPL,2021-04-28,2021-04-28,2021-04-28 16:30 ET,amc
AAPL,2021-07-27,2021-07-27,2021-07-27 16:35 ET,amc
AAPL,2021-10-28,2021-10-28,2021-10-28 16:30 ET,amc
AAPL,2022-01-27,2022-01-27,2022-01-27 16:30 ET,amc
AAPL,2022-04-28,2022-04-28,2022-04-28 16:32 ET,amc
AAPL,2022-07-28,2022-07-28,2022-07-28 16:31 ET,amc
AAPL,2022-10-27,2022-10-27,2022-10-27 16:30 ET,amc
AAPL,2023-02-02,2023-02-02,2023-02-02 16:30 ET,amc
AAPL,2023-05-04,2023-05-04,2023-05-04 16:30 ET,amc
AAPL,2023-08-03,2023-08-03,2023-08-03 16:30 ET,amc
AAPL,2023-11-02,2023-11-02,2023-11-02 16:30 ET,amc
AAPL,2024-02-01,2024-02-01,2024-02-01 16:30 ET,amc
AAPL,2024-05-02,2024-05-02,2024-05-02 16:30 ET,amc
AAPL,2024-08-01,2024-08-01,2024-08-01 16:30 ET,amc
AAPL,2024-10-31,2024-10-31,2024-10-31 16:30 ET,amc
AAPL,2025-01-30,2025-01-30,2025-01-30 16:30 ET,amc
AAPL,2025-05-01,2025-05-01,2025-05-01 16:30 ET,amc
AAPL,2025-07-31,2025-07-31,2025-07-31 16:30 ET,amc
AAPL,2025-10-30,2025-10-30,2025-10-30 16:30 ET,amc
AAPL,2026-01-29,2026-01-29,2026-01-29 16:30 ET,amc
AAPL,2026-04-30,2026-04-30,2026-04-30 16:30 ET,amc
ABNB,2021-02-25,2021-02-25,2021-02-25 16:09 ET,amc
ABNB,2021-05-13,2021-05-13,2021-05-13 16:00 ET,amc
ABNB,2021-08-12,2021-08-12,2021-08-12 16:01 ET,amc
ABNB,2021-11-04,2021-11-04,2021-11-04 16:01 ET,amc
ABNB,2022-02-15,2022-02-15,2022-02-15 16:02 ET,amc
ABNB,2022-05-03,2022-05-03,2022-05-03 16:00 ET,amc
ABNB,2022-08-02,2022-08-02,2022-08-02 16:01 ET,amc
ABNB,2022-11-01,2022-11-01,2022-11-01 16:04 ET,amc
ABNB,2023-02-14,2023-02-14,2023-02-14 16:02 ET,amc
ABNB,2023-05-09,2023-05-09,2023-05-09 16:01 ET,amc
ABNB,2023-08-03,2023-08-03,2023-08-03 16:01 ET,amc
ABNB,2023-11-01,2023-11-01,2023-11-01 16:01 ET,amc
ABNB,2024-02-13,2024-02-13,2024-02-13 16:09 ET,amc
ABNB,2024-05-08,2024-05-08,2024-05-08 16:01 ET,amc
