regime,n_days,NDX_mean,NDX_med,NDX_hit,NDX_ci_lo,NDX_ci_hi,SPX_mean,SPX_med,SPX_hit,SPX_ci_lo,SPX_ci_hi,IWM_mean,IWM_med,IWM_hit,IWM_ci_lo,IWM_ci_hi,ret_n
"N=Mid,S=Mid,I=Mid",213,2.32,2.48,66.0,0.26,4.29,2.0,2.28,68.0,0.61,3.33,2.01,2.12,62.0,-0.04,3.85,213
"N=High,S=High,I=Mid",174,2.54,3.15,74.0,1.1,3.89,1.7,2.59,76.0,0.84,2.58,1.66,2.06,66.0,-0.01,3.2,174
"N=Low,S=Low,I=Low",170,1.73,2.0,60.0,-0.15,3.61,1.87,1.86,79.0,0.77,2.85,1.78,1.57,68.0,0.35,3.39,170
"N=High,S=High,I=High",168,2.1,3.29,63.0,0.15,4.07,1.51,3.06,62.0,-0.12,3.11,1.59,2.58,62.0,-0.49,3.72,168
"N=Mid,S=Mid,I=Low",137,3.32,2.53,85.0,1.72,5.16,2.58,2.6,82.0,1.33,3.87,1.76,2.0,62.0,-0.26,3.64,137
"N=Low,S=Low,I=Mid",106,0.33,0.32,52.0,-1.65,2.37,0.65,0.74,58.0,-1.18,2.56,0.51,1.49,58.0,-2.09,3.84,106
"N=Mid,S=Mid,I=High",105,0.26,0.58,53.0,-2.78,3.03,0.48,0.59,57.0,-1.4,2.42,-0.27,-1.08,46.0,-2.27,2.46,101
"N=Low,S=Low,I=High",94,2.73,3.82,71.0,0.25,4.98,2.12,2.69,72.0,0.3,3.81,2.49,2.67,64.0,-1.21,6.58,83
"N=High,S=High,I=Low",74,3.1,4.21,84.0,1.59,4.87,1.93,2.71,86.0,0.79,2.95,1.37,1.85,64.0,-0.66,3.63,74
"N=Low,S=Mid,I=Mid",65,-0.55,-0.75,45.0,-2.88,1.79,-0.34,-0.22,45.0,-2.11,1.64,0.17,0.17,52.0,-1.45,1.95,65
"N=Mid,S=Low,I=Low",48,-0.88,0.07,50.0,-5.81,4.3,-2.82,-0.69,44.0,-7.78,1.96,-6.81,-5.85,17.0,-11.82,-1.71,48
"N=Mid,S=Low,I=Mid",45,-0.15,2.39,67.0,-4.2,3.82,-1.3,1.42,69.0,-4.92,2.14,-1.92,-0.13,49.0,-9.22,5.72,45
"N=Mid,S=High,I=Mid",40,2.67,2.48,78.0,,,1.61,2.46,70.0,,,1.34,2.68,62.0,,,40
"N=Low,S=Mid,I=High",37,3.44,3.5,61.0,,,3.1,3.29,70.0,,,4.34,3.58,79.0,,,33
"N=Mid,S=Low,I=High",34,-1.31,2.04,59.0,,,-0.74,2.04,59.0,,,0.77,0.6,56.0,,,32
"N=High,S=Mid,I=Low",32,6.79,6.7,94.0,,,4.53,5.15,88.0,,,5.04,5.28,72.0,,,32
"N=High,S=Mid,I=High",30,-2.16,-2.76,37.0,,,-1.32,-0.7,47.0,,,-1.75,-1.08,40.0,,,30
"N=Mid,S=High,I=High",27,0.45,2.28,59.0,,,-0.91,1.2,59.0,,,-3.49,-2.76,30.0,,,27
"N=Low,S=Mid,I=Low",24,-0.18,-0.34,38.0,,,0.33,0.53,58.0,,,0.03,-0.07,50.0,,,24
"N=High,S=Mid,I=Mid",17,2.21,1.35,76.0,,,2.74,2.31,82.0,,,6.17,7.83,76.0,,,17
"N=Mid,S=High,I=Low",11,1.71,1.56,73.0,,,1.6,1.38,100.0,,,1.07,1.65,73.0,,,11
