index,corr_regime,dix_regime,n_days,n_eps,mean,ex,med,hit,ep_ci_lo,ep_ci_hi,blk_ci_lo,blk_ci_hi,spread_mean,years,gate
NDX,LowCorr,DIXLow,269,35,-0.23,-2.35,-0.01,50.0,-1.36,1.16,-1.55,1.03,-1.16,26:34% 24:31% 25:22%,ok
NDX,LowCorr,DIXMid,267,59,2.16,-0.19,2.65,75.0,1.08,3.23,1.04,3.21,-0.84,24:26% 23:24% 21:23%,ok
NDX,LowCorr,DIXHigh,184,31,2.9,0.18,3.2,82.0,0.88,4.83,0.91,4.93,-1.27,23:38% 21:19% 20:17%,ok
NDX,MidCorr,DIXLow,152,27,2.26,0.28,2.03,70.0,0.06,4.52,-0.23,4.68,-1.07,25:32% 21:24% 24:12%,ok
NDX,MidCorr,DIXMid,224,52,2.53,0.53,3.4,70.0,0.54,4.28,0.81,4.04,-0.35,21:31% 23:24% 24:14%,ok
NDX,MidCorr,DIXHigh,235,38,0.71,-1.34,2.92,62.0,-2.52,3.99,-2.35,3.57,0.58,20:30% 23:19% 22:17%,ok
NDX,HighCorr,DIXLow,56,14,7.16,5.69,5.13,89.0,2.02,11.97,4.2,10.0,-1.56,20:32% 25:32% 22:25%,ok
NDX,HighCorr,DIXMid,156,36,1.18,0.7,1.8,56.0,-2.32,4.96,-2.52,4.36,0.1,22:45% 20:15% 25:15%,ok
NDX,HighCorr,DIXHigh,188,29,2.65,2.44,4.97,65.0,-1.12,6.16,-0.98,5.99,-0.06,22:57% 20:26% 25:6%,ok
SPX,LowCorr,DIXLow,282,43,0.5,-1.24,0.71,58.0,-0.41,1.4,-0.45,1.47,-0.21,24:40% 26:30% 25:19%,ok
SPX,LowCorr,DIXMid,245,60,1.03,-0.66,1.24,70.0,0.18,1.86,-0.02,1.99,-0.04,21:29% 24:25% 23:21%,ok
SPX,LowCorr,DIXHigh,148,26,1.09,-0.55,1.74,70.0,-0.42,2.46,-0.34,2.47,,23:55% 25:19% 21:14%,ok
SPX,MidCorr,DIXLow,84,22,2.33,0.68,1.88,81.0,-0.05,4.95,-0.11,4.53,,21:36% 25:33% 26:15%,ok
SPX,MidCorr,DIXMid,167,39,1.58,0.05,2.3,77.0,-0.19,3.09,-0.46,3.38,,21:38% 23:29% 24:12%,ok
SPX,MidCorr,DIXHigh,157,34,0.74,-0.27,1.81,63.0,-0.91,2.57,-1.36,2.77,,23:33% 22:29% 21:22%,ok
SPX,HighCorr,DIXLow,16,6,,,,,,,,,,25:81% 26:19%,low-n
SPX,HighCorr,DIXMid,86,19,4.01,3.86,4.81,76.0,1.43,6.22,1.94,6.15,,22:58% 25:27% 26:8%,ok
SPX,HighCorr,DIXHigh,208,23,1.01,0.93,3.24,64.0,-1.27,3.01,-1.33,3.19,,22:62% 25:22% 24:6%,ok
IWM,LowCorr,DIXLow,177,42,-0.2,-1.28,-0.42,47.0,-1.92,1.54,-1.68,1.38,,24:32% 25:30% 21:25%,ok
IWM,LowCorr,DIXMid,241,56,-0.86,-2.05,-0.72,44.0,-2.76,0.87,-3.21,1.42,,23:33% 26:18% 25:18%,ok
IWM,LowCorr,DIXHigh,111,30,-0.91,-2.29,-0.87,43.0,-2.81,1.03,-2.84,0.75,,26:48% 23:27% 21:12%,ok
IWM,MidCorr,DIXLow,203,41,1.45,0.6,1.43,64.0,-0.21,3.11,0.11,2.77,,21:39% 24:32% 25:17%,ok
IWM,MidCorr,DIXMid,180,62,2.24,1.51,2.61,68.0,0.56,3.86,0.41,4.04,,25:24% 21:21% 23:21%,ok
IWM,MidCorr,DIXHigh,168,35,0.59,0.26,1.69,62.0,-1.64,3.57,-2.29,3.16,,22:43% 21:17% 25:15%,ok
IWM,HighCorr,DIXLow,50,15,3.85,2.82,3.67,84.0,0.82,6.36,1.9,6.0,,24:42% 23:34% 25:14%,ok
IWM,HighCorr,DIXMid,169,38,2.16,2.0,2.2,68.0,0.54,4.36,0.23,3.92,,22:57% 24:18% 25:15%,ok
IWM,HighCorr,DIXHigh,91,27,1.18,0.76,0.14,52.0,-1.5,4.53,-1.92,4.26,,22:42% 21:16% 25:13%,ok
