index,family,cell,corr_regime,dix_regime,h,n,n_eps,gate,p5,p10,p25,p50,p75,p90,p95,mean,hit
NDX,ENV,LowCorr,LowCorr,,1,753,30,True,-1.895,-1.291,-0.44,0.142,0.743,1.282,1.693,0.081,57.105
NDX,ENV,LowCorr,LowCorr,,2,752,30,True,-2.49,-1.824,-0.655,0.316,1.09,1.858,2.377,0.162,59.441
NDX,ENV,LowCorr,LowCorr,,3,751,30,True,-2.807,-2.089,-0.838,0.429,1.433,2.299,2.859,0.235,59.121
NDX,ENV,LowCorr,LowCorr,,5,749,30,True,-3.507,-2.523,-1.037,0.566,1.884,3.183,3.792,0.384,59.947
NDX,ENV,LowCorr,LowCorr,,10,744,30,True,-4.816,-3.103,-0.868,1.126,2.899,4.306,5.345,0.825,65.054
NDX,ENV,LowCorr,LowCorr,,15,739,30,True,-5.632,-3.983,-0.891,1.614,3.697,5.283,6.362,1.158,68.877
NDX,ENV,LowCorr,LowCorr,,21,733,30,True,-6.293,-4.415,-1.201,1.801,4.48,6.486,7.78,1.429,67.667
NDX,ENV,LowCorr,LowCorr,,42,712,30,True,-10.155,-5.948,-1.594,2.263,6.833,10.164,12.856,2.197,66.433
NDX,ENV,LowCorr,LowCorr,,63,691,30,True,-9.704,-5.285,0.138,4.121,7.986,13.227,16.498,3.873,75.109
NDX,ENV,MidCorr,MidCorr,,1,611,53,True,-2.313,-1.645,-0.684,0.156,0.916,1.697,2.264,0.099,56.956
NDX,ENV,MidCorr,MidCorr,,2,611,53,True,-3.097,-2.269,-0.992,0.256,1.412,2.317,3.069,0.192,57.61
NDX,ENV,MidCorr,MidCorr,,3,611,53,True,-3.611,-2.963,-1.036,0.416,1.709,2.785,3.841,0.294,59.574
NDX,ENV,MidCorr,MidCorr,,5,611,53,True,-4.545,-3.204,-1.258,0.796,2.232,3.884,5.172,0.479,61.375
NDX,ENV,MidCorr,MidCorr,,10,611,53,True,-6.985,-4.707,-1.772,1.467,3.48,5.553,6.625,0.769,62.848
NDX,ENV,MidCorr,MidCorr,,15,611,53,True,-8.161,-5.716,-1.771,1.943,4.569,6.486,8.086,1.118,64.812
NDX,ENV,MidCorr,MidCorr,,21,611,53,True,-8.886,-5.671,-1.618,2.772,5.866,8.09,10.01,1.715,66.612
NDX,ENV,MidCorr,MidCorr,,42,611,53,True,-12.78,-7.721,1.043,5.949,9.611,13.235,15.033,4.556,78.232
NDX,ENV,MidCorr,MidCorr,,63,611,53,True,-13.521,-10.237,-0.635,8.418,13.198,18.292,21.473,6.372,74.141
NDX,ENV,HighCorr,HighCorr,,1,400,24,True,-3.688,-2.604,-1.16,0.101,1.404,2.345,3.361,0.088,52.5
NDX,ENV,HighCorr,HighCorr,,2,400,24,True,-4.571,-3.205,-1.731,0.516,2.146,3.245,4.495,0.168,55.25
NDX,ENV,HighCorr,HighCorr,,3,400,24,True,-5.715,-3.938,-1.845,0.442,2.449,4.278,5.351,0.253,55.0
NDX,ENV,HighCorr,HighCorr,,5,400,24,True,-6.99,-4.693,-2.359,0.692,3.37,5.673,7.229,0.441,57.0
NDX,ENV,HighCorr,HighCorr,,10,400,24,True,-9.849,-6.655,-3.19,2.247,5.369,7.819,9.343,1.031,60.75
NDX,ENV,HighCorr,HighCorr,,15,400,24,True,-10.278,-8.369,-4.132,2.642,7.246,10.361,13.064,1.771,63.0
NDX,ENV,HighCorr,HighCorr,,21,400,24,True,-12.853,-10.33,-3.936,4.365,8.975,13.711,15.691,2.652,64.5
NDX,ENV,HighCorr,HighCorr,,42,400,24,True,-15.261,-11.419,-3.015,5.913,11.959,18.945,22.934,4.779,70.0
NDX,ENV,HighCorr,HighCorr,,63,400,24,True,-16.418,-10.873,-3.658,7.781,15.812,23.853,29.659,6.797,67.75
NDX,ENV,LowCorrxDIXLow(l1),LowCorr,DIXLow,1,273,36,True,-2.012,-1.536,-0.456,0.192,0.811,1.494,1.807,0.087,56.41
NDX,ENV,LowCorrxDIXLow(l1),LowCorr,DIXLow,2,273,36,True,-3.124,-2.042,-0.779,0.315,1.208,2.09,2.631,0.146,59.707
NDX,ENV,LowCorrxDIXLow(l1),LowCorr,DIXLow,3,273,36,True,-3.33,-2.243,-1.003,0.323,1.544,2.376,2.821,0.163,55.311
NDX,ENV,LowCorrxDIXLow(l1),LowCorr,DIXLow,5,273,36,True,-4.613,-3.213,-1.417,0.317,1.912,3.432,3.975,0.179,55.678
NDX,ENV,LowCorrxDIXLow(l1),LowCorr,DIXLow,10,273,36,True,-5.759,-4.161,-1.727,0.288,2.256,4.075,5.078,0.103,54.579
NDX,ENV,LowCorrxDIXLow(l1),LowCorr,DIXLow,15,273,36,True,-6.571,-4.598,-2.15,0.299,2.726,4.477,5.394,0.039,55.311
NDX,ENV,LowCorrxDIXLow(l1),LowCorr,DIXLow,21,273,36,True,-7.167,-5.756,-3.343,-0.035,2.498,5.299,6.399,-0.292,49.817
NDX,ENV,LowCorrxDIXLow(l1),LowCorr,DIXLow,42,257,36,True,-10.834,-7.382,-2.772,0.918,3.609,7.493,9.275,0.324,56.809
NDX,ENV,LowCorrxDIXLow(l1),LowCorr,DIXLow,63,239,36,True,-7.122,-4.761,-0.158,3.175,6.287,13.78,17.365,3.611,74.059
NDX,ENV,LowCorrxDIXMid(l1),LowCorr,DIXMid,1,295,63,True,-1.738,-1.141,-0.462,0.115,0.696,1.163,1.549,0.054,56.949
NDX,ENV,LowCorrxDIXMid(l1),LowCorr,DIXMid,2,294,63,True,-2.163,-1.764,-0.643,0.325,0.998,1.596,1.962,0.133,59.524
NDX,ENV,LowCorrxDIXMid(l1),LowCorr,DIXMid,3,293,63,True,-2.558,-2.021,-0.859,0.446,1.34,2.059,2.617,0.215,61.092
NDX,ENV,LowCorrxDIXMid(l1),LowCorr,DIXMid,5,291,63,True,-3.015,-2.237,-0.979,0.58,1.835,2.89,3.294,0.428,62.199
NDX,ENV,LowCorrxDIXMid(l1),LowCorr,DIXMid,10,286,63,True,-3.73,-2.335,-0.297,1.595,3.522,4.479,5.429,1.284,71.329
NDX,ENV,LowCorrxDIXMid(l1),LowCorr,DIXMid,15,281,63,True,-4.846,-3.389,0.037,2.255,3.767,5.208,5.92,1.594,75.089
NDX,ENV,LowCorrxDIXMid(l1),LowCorr,DIXMid,21,275,63,True,-4.434,-3.201,0.072,2.535,4.756,6.572,7.494,2.127,75.636
NDX,ENV,LowCorrxDIXMid(l1),LowCorr,DIXMid,42,270,63,True,-10.555,-4.427,-0.801,4.917,8.431,10.855,12.557,3.271,70.0
NDX,ENV,LowCorrxDIXMid(l1),LowCorr,DIXMid,63,267,63,True,-9.961,-5.017,1.113,5.1,8.193,12.621,15.212,4.131,79.026
NDX,ENV,LowCorrxDIXHigh(l1),LowCorr,DIXHigh,1,185,30,True,-1.689,-1.116,-0.365,0.113,0.675,1.268,1.66,0.117,58.378
NDX,ENV,LowCorrxDIXHigh(l1),LowCorr,DIXHigh,2,185,30,True,-2.31,-1.621,-0.57,0.264,1.098,1.879,2.879,0.23,58.919
NDX,ENV,LowCorrxDIXHigh(l1),LowCorr,DIXHigh,3,185,30,True,-2.561,-1.979,-0.593,0.507,1.544,2.625,3.022,0.375,61.622
NDX,ENV,LowCorrxDIXHigh(l1),LowCorr,DIXHigh,5,185,30,True,-3.016,-2.384,-0.829,0.664,1.975,3.478,4.29,0.618,62.703
NDX,ENV,LowCorrxDIXHigh(l1),LowCorr,DIXHigh,10,185,30,True,-4.551,-1.971,-0.276,1.57,2.882,4.304,5.07,1.18,70.811
NDX,ENV,LowCorrxDIXHigh(l1),LowCorr,DIXHigh,15,185,30,True,-6.4,-2.367,0.514,2.503,4.58,6.64,8.178,2.146,79.459
NDX,ENV,LowCorrxDIXHigh(l1),LowCorr,DIXHigh,21,185,30,True,-5.183,-2.62,1.039,3.213,5.51,7.665,9.698,2.932,82.162
NDX,ENV,LowCorrxDIXHigh(l1),LowCorr,DIXHigh,42,185,30,True,-7.727,-4.602,-0.204,4.089,7.434,11.449,14.625,3.234,74.595
NDX,ENV,LowCorrxDIXHigh(l1),LowCorr,DIXHigh,63,185,30,True,-10.807,-7.68,-0.562,5.27,8.451,14.009,16.504,3.839,70.811
NDX,ENV,MidCorrxDIXLow(l1),MidCorr,DIXLow,1,154,27,True,-2.514,-1.879,-0.811,0.224,0.938,1.532,2.343,0.05,55.844
NDX,ENV,MidCorrxDIXLow(l1),MidCorr,DIXLow,2,154,27,True,-3.112,-2.335,-1.18,0.304,1.521,2.482,3.119,0.182,54.545
NDX,ENV,MidCorrxDIXLow(l1),MidCorr,DIXLow,3,154,27,True,-3.572,-3.044,-1.341,0.406,1.698,2.938,3.938,0.291,60.39
NDX,ENV,MidCorrxDIXLow(l1),MidCorr,DIXLow,5,154,27,True,-4.487,-3.165,-1.284,0.677,2.385,4.233,5.372,0.563,61.039
NDX,ENV,MidCorrxDIXLow(l1),MidCorr,DIXLow,10,154,27,True,-5.001,-3.897,-1.75,1.459,3.558,5.339,6.706,1.044,64.935
NDX,ENV,MidCorrxDIXLow(l1),MidCorr,DIXLow,15,154,27,True,-6.198,-4.463,-0.776,2.037,4.37,6.156,9.024,1.629,66.883
NDX,ENV,MidCorrxDIXLow(l1),MidCorr,DIXLow,21,154,27,True,-6.099,-4.471,-1.172,2.022,5.815,8.852,10.753,2.201,70.13
NDX,ENV,MidCorrxDIXLow(l1),MidCorr,DIXLow,42,154,27,True,-2.548,-1.477,1.38,6.447,9.513,14.714,20.06,6.533,85.714
NDX,ENV,MidCorrxDIXLow(l1),MidCorr,DIXLow,63,154,27,True,-4.974,-3.036,0.827,8.599,14.067,19.87,21.649,8.133,79.87
NDX,ENV,MidCorrxDIXMid(l1),MidCorr,DIXMid,1,222,51,True,-2.037,-1.257,-0.555,0.123,0.794,1.53,2.205,0.122,57.658
