index,regime,q,day,value
NDX,BASELINE,10,0,0.0
NDX,BASELINE,10,1,-1.738
NDX,BASELINE,10,2,-2.403
NDX,BASELINE,10,3,-2.837
NDX,BASELINE,10,4,-3.102
NDX,BASELINE,10,5,-3.399
NDX,BASELINE,10,6,-3.735
NDX,BASELINE,10,7,-4.072
NDX,BASELINE,10,8,-4.293
NDX,BASELINE,10,9,-4.646
NDX,BASELINE,10,10,-4.868
NDX,BASELINE,10,11,-5.009
NDX,BASELINE,10,12,-5.434
NDX,BASELINE,10,13,-5.637
NDX,BASELINE,10,14,-5.818
NDX,BASELINE,10,15,-5.948
NDX,BASELINE,10,16,-5.904
NDX,BASELINE,10,17,-5.948
NDX,BASELINE,10,18,-6.32
NDX,BASELINE,10,19,-6.127
NDX,BASELINE,10,20,-6.414
NDX,BASELINE,10,21,-6.282
NDX,BASELINE,25,0,0.0
NDX,BASELINE,25,1,-0.667
NDX,BASELINE,25,2,-1.02
NDX,BASELINE,25,3,-1.118
NDX,BASELINE,25,4,-1.238
NDX,BASELINE,25,5,-1.319
NDX,BASELINE,25,6,-1.357
NDX,BASELINE,25,7,-1.419
NDX,BASELINE,25,8,-1.391
NDX,BASELINE,25,9,-1.515
NDX,BASELINE,25,10,-1.615
NDX,BASELINE,25,11,-1.629
NDX,BASELINE,25,12,-1.649
NDX,BASELINE,25,13,-1.696
NDX,BASELINE,25,14,-1.825
NDX,BASELINE,25,15,-1.763
NDX,BASELINE,25,16,-1.72
NDX,BASELINE,25,17,-1.866
NDX,BASELINE,25,18,-1.893
NDX,BASELINE,25,19,-2.012
NDX,BASELINE,25,20,-1.968
NDX,BASELINE,25,21,-1.968
NDX,BASELINE,50,0,0.0
NDX,BASELINE,50,1,0.139
NDX,BASELINE,50,2,0.315
NDX,BASELINE,50,3,0.417
NDX,BASELINE,50,4,0.493
NDX,BASELINE,50,5,0.643
NDX,BASELINE,50,6,0.702
NDX,BASELINE,50,7,0.863
NDX,BASELINE,50,8,0.972
NDX,BASELINE,50,9,1.085
NDX,BASELINE,50,10,1.261
NDX,BASELINE,50,11,1.352
NDX,BASELINE,50,12,1.431
NDX,BASELINE,50,13,1.602
NDX,BASELINE,50,14,1.758
NDX,BASELINE,50,15,1.805
NDX,BASELINE,50,16,1.952
NDX,BASELINE,50,17,2.014
NDX,BASELINE,50,18,2.165
NDX,BASELINE,50,19,2.228
NDX,BASELINE,50,20,2.19
NDX,BASELINE,50,21,2.319
NDX,BASELINE,75,0,0.0
NDX,BASELINE,75,1,0.918
NDX,BASELINE,75,2,1.414
NDX,BASELINE,75,3,1.747
NDX,BASELINE,75,4,2.051
NDX,BASELINE,75,5,2.305
NDX,BASELINE,75,6,2.627
NDX,BASELINE,75,7,2.88
NDX,BASELINE,75,8,3.117
NDX,BASELINE,75,9,3.373
NDX,BASELINE,75,10,3.68
NDX,BASELINE,75,11,3.845
NDX,BASELINE,75,12,4.046
NDX,BASELINE,75,13,4.185
NDX,BASELINE,75,14,4.379
NDX,BASELINE,75,15,4.59
NDX,BASELINE,75,16,4.666
NDX,BASELINE,75,17,4.838
NDX,BASELINE,75,18,5.114
NDX,BASELINE,75,19,5.269
NDX,BASELINE,75,20,5.552
NDX,BASELINE,75,21,5.727
NDX,BASELINE,90,0,0.0
NDX,BASELINE,90,1,1.729
NDX,BASELINE,90,2,2.449
NDX,BASELINE,90,3,3.026
NDX,BASELINE,90,4,3.701
NDX,BASELINE,90,5,4.057
NDX,BASELINE,90,6,4.444
NDX,BASELINE,90,7,4.858
NDX,BASELINE,90,8,5.13
NDX,BASELINE,90,9,5.398
NDX,BASELINE,90,10,5.807
NDX,BASELINE,90,11,6.17
NDX,BASELINE,90,12,6.531
NDX,BASELINE,90,13,6.845
NDX,BASELINE,90,14,7.077
NDX,BASELINE,90,15,7.262
NDX,BASELINE,90,16,7.724
NDX,BASELINE,90,17,8.037
NDX,BASELINE,90,18,8.42
NDX,BASELINE,90,19,8.467
NDX,BASELINE,90,20,8.754
NDX,BASELINE,90,21,9.028
NDX,HHH,10,0,0.0
NDX,HHH,10,1,-1.448
NDX,HHH,10,2,-2.501
NDX,HHH,10,3,-2.367
NDX,HHH,10,4,-2.652
NDX,HHH,10,5,-3.076
NDX,HHH,10,6,-3.979
NDX,HHH,10,7,-3.366
NDX,HHH,10,8,-3.835
NDX,HHH,10,9,-4.071
NDX,HHH,10,10,-4.237
NDX,HHH,10,11,-4.21
NDX,HHH,10,12,-4.346
NDX,HHH,10,13,-4.025
NDX,HHH,10,14,-5.217
NDX,HHH,10,15,-6.02
NDX,HHH,10,16,-5.803
NDX,HHH,10,17,-5.741
NDX,HHH,10,18,-6.632
NDX,HHH,10,19,-6.733
NDX,HHH,10,20,-6.882
NDX,HHH,10,21,-6.657
NDX,HHH,25,0,0.0
NDX,HHH,25,1,-0.488
NDX,HHH,25,2,-0.406
NDX,HHH,25,3,-0.633
NDX,HHH,25,4,-0.813
NDX,HHH,25,5,-0.698
NDX,HHH,25,6,-0.576
NDX,HHH,25,7,-0.45
NDX,HHH,25,8,-0.633
NDX,HHH,25,9,-0.838
NDX,HHH,25,10,-0.891
NDX,HHH,25,11,-0.894
NDX,HHH,25,12,-1.468
NDX,HHH,25,13,-2.063
NDX,HHH,25,14,-2.395
NDX,HHH,25,15,-2.62
NDX,HHH,25,16,-3.384
NDX,HHH,25,17,-2.793
NDX,HHH,25,18,-2.186
NDX,HHH,25,19,-2.137
NDX,HHH,25,20,-2.409
NDX,HHH,25,21,-1.868
NDX,HHH,50,0,0.0
NDX,HHH,50,1,0.454
NDX,HHH,50,2,0.81
NDX,HHH,50,3,1.036
NDX,HHH,50,4,1.094
NDX,HHH,50,5,1.247
NDX,HHH,50,6,1.664
