horizon,signal,n,ic,nw_t,ic_pre2021,ic_post2021
21,stoch_%D_126,3718,0.1385,2.433,0.2091,0.0279
21,pctrank_126,3718,0.1212,2.694,0.1707,0.0392
21,rsi_dix_14,3816,0.034,0.133,0.0547,0.0006
21,macd_hist_dix,3817,-0.0171,-0.337,0.0052,-0.0508
21,stoch_%D_126|GEX>0,3395,0.1475,,0.2056,0.0556
21,bullish_divergence_edge_pp,774,0.4588,,,
42,stoch_%D_126,3697,0.1583,2.878,0.2581,-0.0072
42,pctrank_126,3697,0.1509,3.121,0.2127,0.0483
42,rsi_dix_14,3795,0.0716,1.485,0.096,0.0301
42,macd_hist_dix,3796,0.043,1.4,0.0486,0.0301
42,stoch_%D_126|GEX>0,3375,0.1645,,0.2444,0.0251
42,bullish_divergence_edge_pp,766,1.1319,,,
63,stoch_%D_126,3676,0.1205,1.437,0.2362,-0.0678
63,pctrank_126,3676,0.1195,1.633,0.1942,0.0031
63,rsi_dix_14,3774,0.0292,-0.616,0.0526,-0.0064
63,macd_hist_dix,3775,0.0151,0.478,0.0009,0.0291
63,stoch_%D_126|GEX>0,3354,0.136,,0.2256,-0.0206
63,bullish_divergence_edge_pp,766,1.4012,,,
