horizon,kind,group,n,mae,mfe,tilt,p_mae10,p_mfe10,t_trough,t_peak,tilt_ci_lo,tilt_ci_hi
21,group,LOW,74721,-5.216,6.929,1.713,16.335,23.559,9.853,12.008,0.468,2.784
21,group,MID,185490,-5.426,6.982,1.556,17.173,23.946,9.977,11.958,0.213,2.723
21,group,HIGH,82028,-5.393,7.124,1.731,16.362,23.971,9.959,12.105,0.333,2.925
21,group,ALL,342239,-5.368,6.988,1.621,16.836,23.834,9.941,12.007,0.303,2.774
21,group,S0,262234,-5.361,6.976,1.615,16.895,23.847,9.942,11.992,0.299,2.774
21,group,S1-4,40999,-5.392,6.883,1.491,16.688,23.247,9.906,12.038,0.178,2.629
21,group,S5-9,21372,-5.349,7.129,1.78,16.483,23.788,10.029,12.097,0.404,3.039
21,group,S10+,17634,-5.501,7.794,2.292,16.884,26.532,9.992,11.98,0.842,3.706
21,diff,HIGH-LOW,1742,-0.194,0.169,-0.025,0.103,,0.116,,-0.45,0.398
21,diff,S10+-S0,1400,-0.07,0.724,0.653,-0.589,,0.021,,0.03,1.26
21,fm_revadj,mae_full,1678,,,-0.1098,,,,,-0.4141,0.2002
21,fm_revadj,mae_IS,821,,,-0.2653,,,,,-0.7649,0.2543
21,fm_revadj,mae_OOS,857,,,0.0392,,,,,-0.2534,0.3392
21,fm_revadj,mfe_full,1678,,,0.5102,,,,,0.0764,0.9636
21,fm_revadj,mfe_IS,821,,,0.6402,,,,,-0.0385,1.3693
21,fm_revadj,mfe_OOS,857,,,0.3856,,,,,-0.1093,0.8961
21,fm_revadj,tilt_full,1678,,,0.4004,,,,,-0.1836,0.9865
21,fm_revadj,tilt_IS,821,,,0.3748,,,,,-0.6054,1.3649
21,fm_revadj,tilt_OOS,857,,,0.4249,,,,,-0.2108,1.0559
42,group,LOW,73564,-7.618,10.968,3.35,28.163,42.299,18.527,24.442,1.509,5.013
42,group,MID,183109,-7.953,11.07,3.117,29.257,42.301,18.722,23.986,1.17,4.782
42,group,HIGH,81275,-7.869,11.158,3.29,27.959,42.342,18.593,24.377,1.35,4.991
42,group,ALL,337948,-7.86,11.066,3.207,28.782,42.382,18.651,24.172,1.279,4.831
42,group,S0,258735,-7.85,11.053,3.203,28.906,42.351,18.643,24.145,1.288,4.84
42,group,S1-4,40611,-7.847,10.953,3.106,28.096,42.016,18.603,24.311,1.261,4.806
42,group,S5-9,21146,-7.73,11.192,3.462,27.675,42.58,18.334,24.436,1.601,5.142
42,group,S10+,17456,-8.035,11.856,3.821,29.477,44.0,18.995,23.889,1.74,5.852
42,diff,HIGH-LOW,1721,-0.259,0.166,-0.093,-0.176,,0.069,,-0.64,0.482
42,diff,S10+-S0,1379,-0.228,0.776,0.548,0.132,,0.491,,-0.306,1.416
42,fm_revadj,mae_full,1657,,,-0.1961,,,,,-0.6468,0.2673
42,fm_revadj,mae_IS,821,,,-0.2518,,,,,-0.9563,0.487
42,fm_revadj,mae_OOS,836,,,-0.1413,,,,,-0.6261,0.3309
42,fm_revadj,mfe_full,1657,,,0.4273,,,,,-0.1696,1.0632
42,fm_revadj,mfe_IS,821,,,0.6884,,,,,-0.2391,1.7124
42,fm_revadj,mfe_OOS,836,,,0.1709,,,,,-0.5137,0.8997
42,fm_revadj,tilt_full,1657,,,0.2312,,,,,-0.5587,1.0052
42,fm_revadj,tilt_IS,821,,,0.4366,,,,,-0.8958,1.7671
42,fm_revadj,tilt_OOS,836,,,0.0296,,,,,-0.9499,1.0212
