horizon,test,outcome,bucket,n,mean_pp,hit,ci_lo,ci_hi,sign_p
21,streak_gradient,raw,0,1765,1.564,65.0,0.445,2.549,
21,streak_gradient,raw,1-4,1736,1.547,62.0,0.452,2.53,
21,streak_gradient,raw,5-9,1590,1.712,62.0,0.567,2.797,
21,streak_gradient,raw,10+,1400,1.926,64.0,0.683,3.034,
21,streak_gradient,alpha,0,1765,0.295,57.0,-0.146,0.742,
21,streak_gradient,alpha,1-4,1736,0.344,54.0,-0.096,0.766,
21,streak_gradient,alpha,5-9,1590,0.473,55.0,-0.015,0.962,
21,streak_gradient,alpha,10+,1396,0.71,57.0,0.122,1.302,
21,pername_p1,fwd,high&downtrend,497,0.29,52.5,,,0.2621
21,pername_p1,spyx,high&downtrend,497,0.124,50.3,,,0.893
21,pername_p1,alpha,high&downtrend,497,0.118,49.3,,,0.7535
21,pername_p10,fwd,high&downtrend,497,0.387,53.3,,,0.1388
21,pername_p10,spyx,high&downtrend,497,0.18,50.3,,,0.893
21,pername_p10,alpha,high&downtrend,497,0.167,51.3,,,0.5598
21,ls_alpha_p10,full,downtrend,1754,0.067,49.0,-0.294,0.445,
21,ls_alpha_p10,IS,downtrend,873,-0.124,45.0,-0.642,0.393,
21,ls_alpha_p10,OOS,downtrend,881,0.257,52.0,-0.217,0.729,
21,streak10_alpha_lo,full,10+&downtrend,1396,0.71,57.0,0.135,1.288,
21,streak10_alpha_lo,IS,10+&downtrend,661,0.714,60.0,-0.156,1.563,
21,streak10_alpha_lo,OOS,10+&downtrend,735,0.707,54.0,-0.06,1.524,
42,streak_gradient,raw,0,1744,3.197,73.0,1.613,4.614,
42,streak_gradient,raw,1-4,1715,3.233,70.0,1.685,4.602,
42,streak_gradient,raw,5-9,1569,3.448,68.0,1.856,4.878,
42,streak_gradient,raw,10+,1379,3.377,66.0,1.618,5.153,
42,streak_gradient,alpha,0,1744,0.45,58.0,-0.195,1.095,
42,streak_gradient,alpha,1-4,1715,0.574,56.0,-0.084,1.219,
42,streak_gradient,alpha,5-9,1569,0.655,57.0,-0.054,1.318,
42,streak_gradient,alpha,10+,1375,0.598,53.0,-0.247,1.498,
42,pername_p1,fwd,high&downtrend,497,0.15,51.5,,,0.501
42,pername_p1,spyx,high&downtrend,497,-0.017,45.9,,,0.0659
42,pername_p1,alpha,high&downtrend,497,-0.016,46.9,,,0.1644
42,pername_p10,fwd,high&downtrend,497,0.12,50.5,,,0.8225
42,pername_p10,spyx,high&downtrend,497,-0.049,47.5,,,0.2621
42,pername_p10,alpha,high&downtrend,497,-0.03,48.7,,,0.5598
42,ls_alpha_p10,full,downtrend,1733,0.012,47.0,-0.443,0.502,
42,ls_alpha_p10,IS,downtrend,873,-0.149,46.0,-0.878,0.612,
42,ls_alpha_p10,OOS,downtrend,860,0.175,48.0,-0.388,0.761,
42,streak10_alpha_lo,full,10+&downtrend,1375,0.598,53.0,-0.222,1.49,
42,streak10_alpha_lo,IS,10+&downtrend,661,1.295,55.0,0.213,2.487,
42,streak10_alpha_lo,OOS,10+&downtrend,714,-0.047,50.0,-1.292,1.216,
63,streak_gradient,raw,0,1723,4.741,72.0,2.888,6.525,
63,streak_gradient,raw,1-4,1694,4.744,69.0,2.911,6.467,
63,streak_gradient,raw,5-9,1548,4.783,67.0,3.002,6.483,
63,streak_gradient,raw,10+,1358,4.784,66.0,2.509,7.128,
63,streak_gradient,alpha,0,1723,0.571,60.0,-0.175,1.283,
63,streak_gradient,alpha,1-4,1694,0.618,55.0,-0.113,1.331,
63,streak_gradient,alpha,5-9,1548,0.622,55.0,-0.114,1.359,
63,streak_gradient,alpha,10+,1354,0.709,52.0,-0.329,1.805,
63,pername_p1,fwd,high&downtrend,497,-0.305,47.3,,,0.2259
63,pername_p1,spyx,high&downtrend,497,-0.374,44.7,,,0.0174
63,pername_p1,alpha,high&downtrend,497,-0.26,46.1,,,0.0802
63,pername_p10,fwd,high&downtrend,497,-0.291,47.5,,,0.2621
63,pername_p10,spyx,high&downtrend,497,-0.338,45.3,,,0.035
63,pername_p10,alpha,high&downtrend,497,-0.211,46.3,,,0.097
63,ls_alpha_p10,full,downtrend,1712,-0.096,46.0,-0.81,0.591,
63,ls_alpha_p10,IS,downtrend,873,-0.457,39.0,-1.575,0.679,
63,ls_alpha_p10,OOS,downtrend,839,0.281,53.0,-0.452,1.001,
63,streak10_alpha_lo,full,10+&downtrend,1354,0.709,52.0,-0.338,1.853,
63,streak10_alpha_lo,IS,10+&downtrend,661,1.752,58.0,0.51,3.164,
63,streak10_alpha_lo,OOS,10+&downtrend,693,-0.286,45.0,-1.782,1.38,
