horizon,outcome,group,n,mean,hit_pct,loss10_pct,loss20_pct,p5,cvar10
21,fwd,LOW,74726,1.641,57.148,9.144,2.007,-13.01,-15.57
21,fwd,MID,185505,1.509,56.568,9.752,2.268,-13.63,-16.24
21,fwd,HIGH,82028,1.719,56.937,9.216,2.144,-13.44,-16.13
21,fwd,ALL,342259,1.584,56.826,9.5,2.178,-13.44,-16.07
21,fwd,KEEP,267533,1.57,56.715,9.59,2.247,-13.57,-16.21
21,alpha,LOW,74720,0.361,51.189,8.627,1.508,-12.89,-14.89
21,alpha,MID,185491,0.253,50.163,9.264,1.536,-13.11,-15.08
21,alpha,HIGH,81989,0.467,50.593,8.627,1.44,-12.77,-14.8
21,alpha,ALL,342200,0.315,50.503,8.999,1.502,-12.98,-14.97
21,alpha,KEEP,267480,0.309,50.294,9.086,1.521,-13.0,-14.99
42,fwd,LOW,73579,3.293,59.681,13.55,3.988,-16.81,-19.63
42,fwd,MID,183135,3.141,58.661,14.371,4.396,-17.95,-20.75
42,fwd,HIGH,81275,3.282,59.564,13.881,4.529,-18.2,-21.04
42,fwd,ALL,337989,3.195,59.082,14.161,4.351,-17.78,-20.58
42,fwd,KEEP,264410,3.178,58.914,14.296,4.442,-18.02,-20.84
42,alpha,LOW,73573,0.577,50.936,16.126,3.831,-17.43,-20.0
42,alpha,MID,183121,0.398,49.944,16.949,4.199,-18.12,-20.54
42,alpha,HIGH,81236,0.585,50.471,15.992,4.27,-17.98,-20.63
42,alpha,ALL,337930,0.445,50.169,16.657,4.174,-17.95,-20.45
42,alpha,KEEP,264357,0.43,50.027,16.736,4.243,-18.08,-20.57
