horizon,test,gexq,dband,n,neg_pct,down_pct,raw,zrv,zvix,ci_lo,ci_hi
21,gex_quintile,1,,689,41.4,46.7,1.994,0.391,0.27,0.16,0.623
21,gex_quintile,2,,610,5.2,32.5,1.377,0.284,0.23,0.08,0.477
21,gex_quintile,3,,656,0.0,22.1,1.048,0.271,0.194,0.101,0.422
21,gex_quintile,4,,678,0.0,14.9,0.55,0.159,0.12,-0.01,0.332
21,gex_quintile,5,,1008,0.0,8.0,0.673,0.221,0.156,0.016,0.406
21,heatmap,1,1.0,32,,,,0.674,,,
21,heatmap,1,2.0,163,,,,0.401,,,
21,heatmap,1,3.0,240,,,,0.279,,,
21,heatmap,1,4.0,204,,,,0.461,,,
21,heatmap,1,5.0,46,,,,0.435,,,
21,heatmap,2,1.0,26,,,,,,,
21,heatmap,2,2.0,126,,,,0.188,,,
21,heatmap,2,3.0,228,,,,0.264,,,
21,heatmap,2,4.0,186,,,,0.381,,,
21,heatmap,2,5.0,38,,,,0.283,,,
21,heatmap,3,1.0,32,,,,-0.304,,,
21,heatmap,3,2.0,162,,,,0.174,,,
21,heatmap,3,3.0,277,,,,0.324,,,
21,heatmap,3,4.0,149,,,,0.408,,,
21,heatmap,3,5.0,33,,,,0.232,,,
21,heatmap,4,1.0,49,,,,0.266,,,
21,heatmap,4,2.0,191,,,,-0.101,,,
21,heatmap,4,3.0,275,,,,0.216,,,
21,heatmap,4,4.0,121,,,,0.44,,,
21,heatmap,4,5.0,40,,,,0.033,,,
21,heatmap,5,1.0,117,,,,0.193,,,
21,heatmap,5,2.0,317,,,,0.075,,,
21,heatmap,5,3.0,396,,,,0.31,,,
21,heatmap,5,4.0,131,,,,0.405,,,
21,heatmap,5,5.0,41,,,,-0.027,,,
21,ic_by_regime,1,,685,,,,-0.046,,-0.207,0.12
21,ic_by_regime,2,,604,,,,0.019,,-0.185,0.166
21,ic_by_regime,3,,653,,,,0.067,,-0.079,0.191
21,ic_by_regime,4,,676,,,,0.115,,-0.056,0.257
21,ic_by_regime,5,,1002,,,,0.127,,-0.042,0.292
21,ic_by_regime,all,,3620,,,,0.071,,-0.022,0.166
21,entry_by_regime,Q1-2 (low/neg),,73,,,2.515,0.461,,0.296,0.617
21,entry_by_regime,Q3,,20,,,,,,,
21,entry_by_regime,Q4-5 (high),,30,,,1.249,0.385,,,
42,gex_quintile,1,,689,41.4,46.7,3.774,0.498,0.359,0.236,0.748
42,gex_quintile,2,,610,5.2,32.5,2.442,0.379,0.298,0.133,0.609
42,gex_quintile,3,,656,0.0,22.1,1.698,0.35,0.237,0.122,0.565
42,gex_quintile,4,,678,0.0,14.9,1.578,0.33,0.237,0.12,0.53
42,gex_quintile,5,,1008,0.0,8.0,1.546,0.352,0.25,0.077,0.601
42,heatmap,1,1.0,30,,,,0.813,,,
42,heatmap,1,2.0,160,,,,0.582,,,
42,heatmap,1,3.0,237,,,,0.408,,,
42,heatmap,1,4.0,204,,,,0.467,,,
42,heatmap,1,5.0,46,,,,0.605,,,
42,heatmap,2,1.0,26,,,,,,,
42,heatmap,2,2.0,123,,,,0.38,,,
42,heatmap,2,3.0,225,,,,0.309,,,
42,heatmap,2,4.0,186,,,,0.424,,,
42,heatmap,2,5.0,38,,,,0.473,,,
42,heatmap,3,1.0,32,,,,0.478,,,
42,heatmap,3,2.0,162,,,,0.195,,,
42,heatmap,3,3.0,274,,,,0.262,,,
42,heatmap,3,4.0,149,,,,0.636,,,
42,heatmap,3,5.0,33,,,,0.428,,,
42,heatmap,4,1.0,49,,,,0.504,,,
42,heatmap,4,2.0,188,,,,0.269,,,
42,heatmap,4,3.0,274,,,,0.193,,,
42,heatmap,4,4.0,121,,,,0.653,,,
42,heatmap,4,5.0,40,,,,0.364,,,
42,heatmap,5,1.0,117,,,,0.261,,,
42,heatmap,5,2.0,317,,,,0.244,,,
42,heatmap,5,3.0,396,,,,0.392,,,
42,heatmap,5,4.0,131,,,,0.631,,,
42,heatmap,5,5.0,41,,,,0.161,,,
42,ic_by_regime,1,,677,,,,-0.108,,-0.279,0.115
42,ic_by_regime,2,,598,,,,-0.006,,-0.221,0.154
42,ic_by_regime,3,,650,,,,0.148,,-0.047,0.323
42,ic_by_regime,4,,672,,,,0.092,,-0.09,0.241
42,ic_by_regime,5,,1002,,,,0.172,,-0.014,0.322
42,ic_by_regime,all,,3599,,,,0.073,,-0.032,0.168
42,entry_by_regime,Q1-2 (low/neg),,73,,,4.125,0.566,,0.414,0.705
42,entry_by_regime,Q3,,20,,,,,,,
42,entry_by_regime,Q4-5 (high),,30,,,2.951,0.681,,,
