config,days,exposure,cagr,vol,sharpe,maxdd,hit,sharpe_is,sharpe_oos,edge_bps,edge_ci_lo,edge_ci_hi,note
DIV10,3839.0,20.0,1.63,10.73,0.2,-32.7,55.7,0.08,0.75,0.98,-7.41,8.8,
DIV10H10,3839.0,55.8,6.67,14.76,0.51,-28.7,54.5,0.43,0.85,0.45,-4.03,4.84,
DIV10H21,3839.0,79.0,8.66,16.5,0.59,-33.9,54.0,0.46,1.1,-0.2,-3.71,3.39,
DIV10H42,3839.0,94.6,12.58,17.03,0.78,-33.9,54.5,0.6,1.53,0.47,-2.79,3.4,
DIV15,3839.0,19.2,4.82,10.32,0.51,-27.3,56.8,0.36,1.12,7.4,-2.81,16.36,
DIV15H10,3839.0,49.8,8.78,14.56,0.65,-28.5,55.3,0.47,1.45,2.62,-2.12,7.59,
DIV15H21,3839.0,71.3,9.82,15.96,0.67,-33.9,54.9,0.5,1.39,0.88,-3.01,4.62,
DIV15H42,3839.0,90.3,13.0,16.69,0.82,-33.9,54.8,0.66,1.48,0.88,-2.33,4.06,
DIV21,3839.0,20.2,-0.07,10.69,0.05,-28.7,53.6,-0.05,0.43,-2.79,-11.0,5.63,
DIV21H10,3839.0,41.2,7.22,13.97,0.57,-33.0,54.8,0.53,0.74,2.71,-2.45,8.02,
DIV21H21,3839.0,59.5,9.5,15.21,0.67,-28.5,54.7,0.59,1.02,1.8,-2.25,6.03,
DIV21H42,3839.0,81.0,11.66,16.28,0.76,-28.5,54.3,0.65,1.23,0.97,-2.68,4.3,
DIV31,3839.0,20.4,4.19,10.5,0.44,-20.6,56.1,0.51,0.19,5.2,-2.96,12.64,
DIV31H10,3839.0,39.2,9.24,13.61,0.72,-28.5,56.1,0.74,0.65,4.95,-1.16,10.74,
DIV31H21,3839.0,55.0,10.24,14.86,0.73,-29.3,55.1,0.72,0.8,2.78,-1.98,7.32,
DIV31H42,3839.0,72.9,10.79,15.89,0.72,-28.5,54.8,0.64,1.09,1.18,-2.56,4.77,
DIV42,3839.0,17.8,4.85,10.61,0.5,-18.2,56.4,0.46,0.69,7.75,-0.9,16.46,
DIV42H10,3839.0,30.7,7.43,12.58,0.63,-24.6,55.9,0.53,1.05,5.38,-2.42,11.97,
DIV42H21,3839.0,43.8,9.32,13.98,0.71,-28.5,55.1,0.62,1.07,3.93,-1.56,9.19,
DIV42H42,3839.0,62.2,10.22,15.22,0.72,-28.5,54.9,0.55,1.39,1.87,-2.22,5.93,
DIV63,3839.0,16.5,2.38,10.57,0.28,-24.3,54.2,0.32,0.1,2.8,-5.88,11.53,
DIV63H10,3839.0,24.3,3.5,11.92,0.35,-23.8,54.8,0.37,0.25,1.89,-5.38,8.54,
DIV63H21,3839.0,36.8,5.45,13.61,0.46,-28.5,54.5,0.4,0.73,1.69,-4.17,7.51,
DIV63H42,3839.0,51.8,6.83,14.7,0.52,-28.5,54.3,0.44,0.93,0.8,-4.01,5.25,
OSC63>50,3839.0,45.3,4.58,12.57,0.42,-25.6,53.8,0.29,0.95,0.02,-5.32,5.0,
OSC63>60,3839.0,28.9,0.94,10.63,0.14,-29.7,54.1,0.06,0.48,-2.33,-8.47,4.08,
OSC63>70,3839.0,15.4,1.95,8.32,0.27,-24.9,55.2,0.39,-0.15,1.69,-8.14,11.51,
OSC63>80,3839.0,7.4,1.9,5.98,0.35,-14.4,60.8,0.32,0.45,7.29,-7.4,21.56,
OSC126>50,3839.0,44.5,5.64,11.97,0.52,-27.1,55.0,0.51,0.55,0.94,-3.96,5.23,
OSC126>60,3839.0,26.8,3.57,9.84,0.41,-28.3,55.6,0.46,0.22,1.43,-4.4,7.16,
OSC126>70,3839.0,13.7,4.11,7.28,0.59,-22.9,57.6,0.64,0.41,8.28,-2.07,18.85,
OSC126>80,3839.0,5.2,2.18,4.97,0.46,-6.3,60.7,0.55,0.16,13.32,-0.13,27.37,
OSC252>50,3839.0,44.3,5.71,11.84,0.53,-25.6,54.6,0.46,0.8,0.94,-4.02,5.35,
OSC252>60,3839.0,24.3,1.43,9.3,0.2,-34.1,54.8,0.24,0.02,-1.43,-8.47,5.08,
OSC252>70,3839.0,10.5,2.21,6.4,0.37,-22.0,54.7,0.43,0.18,4.97,-5.83,15.65,
OSC252>80,3839.0,4.0,0.84,4.52,0.21,-7.6,58.1,0.27,0.01,5.23,-9.34,21.87,
OSC126x70H21,3839.0,40.7,9.96,11.13,0.91,-16.9,55.9,0.85,1.1,4.85,0.66,9.39,
OSC126x80H21,3839.0,22.9,5.86,9.0,0.68,-21.3,55.8,0.67,0.7,5.58,-1.0,12.24,
DIV21H21+GEXentry,3839.0,58.7,9.47,14.97,0.68,-28.6,55.1,0.6,1.02,1.84,-2.2,5.93,
DIV21|OSC126>70,3839.0,28.6,2.65,11.62,0.28,-28.5,54.4,0.16,0.74,0.51,-6.6,7.36,
DIV21&OSC126>50,3839.0,12.6,-0.23,8.7,0.02,-31.9,55.1,-0.04,0.28,-3.29,-17.29,9.59,
DIV21+GEX,3839.0,15.1,0.01,7.32,0.04,-25.2,54.6,-0.03,0.3,-2.68,-10.63,4.73,
OSC126>70+GEX,3839.0,12.2,3.57,5.91,0.62,-13.2,58.1,0.6,0.7,7.88,-0.57,16.4,
DIV21|OSC126>70+GEX,3839.0,23.3,2.3,8.5,0.31,-19.5,55.1,0.2,0.69,0.66,-5.62,7.28,
HOLD,3839.0,100.0,12.1,17.26,0.75,-33.9,54.4,0.59,1.4,0.0,-2.97,2.95,
WF_pick_2021,,,,,0.96,,,,,,,,OSC126x70H21
WF_pick_2022,,,,,1.07,,,,,,,,OSC126x70H21
WF_pick_2023,,,,,0.85,,,,,,,,OSC126x70H21
WF_pick_2024,,,,,0.85,,,,,,,,OSC126x70H21
WF_pick_2025,,,,,0.84,,,,,,,,OSC126x70H21
WF_pick_2026,,,,,0.86,,,,,,,,OSC126x70H21
