top_n,names,cond,ls_mean,ls_ci_lo,ls_ci_hi,ls_hit,sel_mean,sel_ci_lo,sel_ci_hi,sel_days,highDPI_vs_spy,allmega_vs_spy,edge_over_beta
15,15,all-days,-0.699,-1.941,0.585,48,-0.011,-0.571,0.605,999,1.604,1.612,-0.008
15,15,in-3mo-downtrend,-1.094,,,46,0.326,-0.525,1.339,268,1.779,1.436,0.343
25,25,all-days,-0.063,-1.189,1.173,49,-0.168,-0.768,0.423,1490,1.088,1.279,-0.191
25,25,in-3mo-downtrend,-0.13,-3.389,3.884,37,0.207,-0.769,1.348,517,1.251,1.285,-0.034
50,50,all-days,0.131,-0.597,0.91,49,0.259,-0.167,0.713,1762,1.27,1.014,0.256
50,50,in-3mo-downtrend,0.725,-0.641,2.312,49,0.649,-0.052,1.463,854,1.727,0.859,0.868
100,100,all-days,-0.021,-0.541,0.52,48,0.066,-0.229,0.372,1770,0.784,0.719,0.065
100,100,in-3mo-downtrend,0.385,-0.382,1.248,50,0.279,-0.287,0.862,1322,1.011,0.667,0.344
200,199,all-days,-0.294,-0.645,0.038,45,-0.079,-0.266,0.099,1770,0.495,0.574,-0.079
200,199,in-3mo-downtrend,0.032,-0.433,0.497,50,0.124,-0.357,0.588,1653,0.701,0.604,0.097
