trend_months,trend_win,signal,outcome,period,leg,days,mean_pp,hit_pct,ci_lo,ci_hi
1,21,self,xret,all,long_short,1760,-0.185,45,-0.498,0.143
1,21,self,xret,all,long_only,1760,0.049,49,-0.238,0.358
1,21,self,xret,pre2021,long_short,377,-0.222,45,-0.9,0.468
1,21,self,xret,pre2021,long_only,377,0.4,53,-0.21,0.97
1,21,self,xret,post2021,long_short,1383,-0.175,45,-0.517,0.177
1,21,self,xret,post2021,long_only,1383,-0.046,47,-0.402,0.282
1,21,self,spyx,all,long_short,1760,-0.185,45,-0.498,0.143
1,21,self,spyx,all,long_only,1760,0.201,51,-0.236,0.647
1,21,self,spyx,pre2021,long_short,377,-0.222,45,-0.9,0.468
1,21,self,spyx,pre2021,long_only,377,0.704,55,-0.258,1.751
1,21,self,spyx,post2021,long_short,1383,-0.175,45,-0.517,0.177
1,21,self,spyx,post2021,long_only,1383,0.064,50,-0.43,0.542
1,21,xsect,xret,all,long_short,1761,-0.068,48,-0.443,0.3
1,21,xsect,xret,all,long_only,1761,0.092,49,-0.257,0.426
1,21,xsect,xret,pre2021,long_short,378,0.398,56,-0.49,1.19
1,21,xsect,xret,pre2021,long_only,378,0.612,57,-0.119,1.322
1,21,xsect,xret,post2021,long_short,1383,-0.195,46,-0.579,0.217
1,21,xsect,xret,post2021,long_only,1383,-0.051,47,-0.431,0.311
1,21,xsect,spyx,all,long_short,1761,-0.068,48,-0.443,0.3
1,21,xsect,spyx,all,long_only,1761,0.245,52,-0.257,0.737
1,21,xsect,spyx,pre2021,long_short,378,0.398,56,-0.49,1.19
1,21,xsect,spyx,pre2021,long_only,378,0.921,62,-0.056,1.871
1,21,xsect,spyx,post2021,long_short,1383,-0.195,46,-0.579,0.217
1,21,xsect,spyx,post2021,long_only,1383,0.06,49,-0.501,0.604
2,42,self,xret,all,long_short,1763,-0.063,46,-0.389,0.279
2,42,self,xret,all,long_only,1763,0.118,48,-0.253,0.548
2,42,self,xret,pre2021,long_short,380,0.188,48,-0.701,1.134
2,42,self,xret,pre2021,long_only,380,0.763,55,-0.305,2.141
2,42,self,xret,post2021,long_short,1383,-0.132,45,-0.468,0.199
2,42,self,xret,post2021,long_only,1383,-0.06,47,-0.384,0.283
2,42,self,spyx,all,long_short,1763,-0.063,46,-0.389,0.279
2,42,self,spyx,all,long_only,1763,0.272,51,-0.251,0.87
2,42,self,spyx,pre2021,long_short,380,0.188,48,-0.701,1.134
2,42,self,spyx,pre2021,long_only,380,1.078,55,-0.552,3.025
2,42,self,spyx,post2021,long_short,1383,-0.132,45,-0.468,0.199
2,42,self,spyx,post2021,long_only,1383,0.051,49,-0.439,0.547
2,42,xsect,xret,all,long_short,1763,-0.032,48,-0.427,0.365
2,42,xsect,xret,all,long_only,1763,0.07,48,-0.349,0.52
2,42,xsect,xret,pre2021,long_short,380,0.709,56,-0.433,1.797
2,42,xsect,xret,pre2021,long_only,380,0.826,58,-0.314,2.226
2,42,xsect,xret,post2021,long_short,1383,-0.235,46,-0.609,0.139
2,42,xsect,xret,post2021,long_only,1383,-0.138,46,-0.55,0.241
2,42,xsect,spyx,all,long_short,1763,-0.032,48,-0.427,0.365
2,42,xsect,spyx,all,long_only,1763,0.224,51,-0.352,0.87
2,42,xsect,spyx,pre2021,long_short,380,0.709,56,-0.433,1.797
2,42,xsect,spyx,pre2021,long_only,380,1.141,58,-0.429,2.991
2,42,xsect,spyx,post2021,long_short,1383,-0.235,46,-0.609,0.139
2,42,xsect,spyx,post2021,long_only,1383,-0.027,49,-0.619,0.544
3,63,self,xret,all,long_short,1759,0.015,47,-0.322,0.387
3,63,self,xret,all,long_only,1759,0.108,52,-0.25,0.462
3,63,self,xret,pre2021,long_short,376,-0.094,47,-0.995,0.818
3,63,self,xret,pre2021,long_only,376,0.274,60,-0.527,1.069
3,63,self,xret,post2021,long_short,1383,0.044,48,-0.308,0.406
3,63,self,xret,post2021,long_only,1383,0.063,50,-0.333,0.433
3,63,self,spyx,all,long_short,1759,0.015,47,-0.322,0.387
3,63,self,spyx,all,long_only,1759,0.267,53,-0.224,0.767
3,63,self,spyx,pre2021,long_short,376,-0.094,47,-0.995,0.818
3,63,self,spyx,pre2021,long_only,376,0.612,62,-0.695,1.844
3,63,self,spyx,post2021,long_short,1383,0.044,48,-0.308,0.406
3,63,self,spyx,post2021,long_only,1383,0.174,50,-0.356,0.665
3,63,xsect,xret,all,long_short,1759,0.101,50,-0.302,0.534
3,63,xsect,xret,all,long_only,1759,0.151,52,-0.243,0.524
3,63,xsect,xret,pre2021,long_short,376,0.762,57,-0.453,1.996
3,63,xsect,xret,pre2021,long_only,376,0.562,60,-0.343,1.434
3,63,xsect,xret,post2021,long_short,1383,-0.079,47,-0.482,0.317
3,63,xsect,xret,post2021,long_only,1383,0.039,50,-0.38,0.426
3,63,xsect,spyx,all,long_short,1759,0.101,50,-0.302,0.534
3,63,xsect,spyx,all,long_only,1759,0.31,54,-0.225,0.851
3,63,xsect,spyx,pre2021,long_short,376,0.762,57,-0.453,1.996
3,63,xsect,spyx,pre2021,long_only,376,0.901,64,-0.322,2.114
3,63,xsect,spyx,post2021,long_short,1383,-0.079,47,-0.482,0.317
3,63,xsect,spyx,post2021,long_only,1383,0.15,51,-0.443,0.71
4,84,self,xret,all,long_short,1763,-0.094,46,-0.454,0.279
4,84,self,xret,all,long_only,1763,0.025,52,-0.364,0.399
4,84,self,xret,pre2021,long_short,380,-0.263,44,-1.286,0.815
4,84,self,xret,pre2021,long_only,380,0.194,57,-0.583,0.983
4,84,self,xret,post2021,long_short,1383,-0.048,46,-0.387,0.319
4,84,self,xret,post2021,long_only,1383,-0.021,50,-0.428,0.369
4,84,self,spyx,all,long_short,1763,-0.094,46,-0.454,0.279
4,84,self,spyx,all,long_only,1763,0.18,53,-0.331,0.663
4,84,self,spyx,pre2021,long_short,380,-0.263,44,-1.286,0.815
4,84,self,spyx,pre2021,long_only,380,0.509,59,-0.768,1.781
4,84,self,spyx,post2021,long_short,1383,-0.048,46,-0.387,0.319
4,84,self,spyx,post2021,long_only,1383,0.089,51,-0.445,0.581
4,84,xsect,xret,all,long_short,1763,-0.049,47,-0.461,0.364
4,84,xsect,xret,all,long_only,1763,0.05,50,-0.34,0.444
4,84,xsect,xret,pre2021,long_short,380,0.306,53,-0.786,1.372
4,84,xsect,xret,pre2021,long_only,380,0.409,57,-0.452,1.235
4,84,xsect,xret,post2021,long_short,1383,-0.147,46,-0.572,0.272
4,84,xsect,xret,post2021,long_only,1383,-0.049,48,-0.483,0.366
4,84,xsect,spyx,all,long_short,1763,-0.049,47,-0.461,0.364
4,84,xsect,spyx,all,long_only,1763,0.205,53,-0.342,0.757
4,84,xsect,spyx,pre2021,long_short,380,0.306,53,-0.786,1.372
4,84,xsect,spyx,pre2021,long_only,380,0.724,62,-0.524,1.979
4,84,xsect,spyx,post2021,long_short,1383,-0.147,46,-0.572,0.272
4,84,xsect,spyx,post2021,long_only,1383,0.062,50,-0.55,0.632
6,126,self,xret,all,long_short,1763,-0.059,48,-0.432,0.329
6,126,self,xret,all,long_only,1763,0.191,51,-0.2,0.563
6,126,self,xret,pre2021,long_short,380,-0.041,49,-1.042,0.93
6,126,self,xret,pre2021,long_only,380,0.981,63,0.046,1.875
6,126,self,xret,post2021,long_short,1383,-0.064,47,-0.452,0.35
6,126,self,xret,post2021,long_only,1383,-0.026,48,-0.41,0.353
6,126,self,spyx,all,long_short,1763,-0.059,48,-0.432,0.329
6,126,self,spyx,all,long_only,1763,0.346,53,-0.167,0.848
6,126,self,spyx,pre2021,long_short,380,-0.041,49,-1.042,0.93
6,126,self,spyx,pre2021,long_only,380,1.296,64,-0.018,2.645
6,126,self,spyx,post2021,long_short,1383,-0.064,47,-0.452,0.35
6,126,self,spyx,post2021,long_only,1383,0.085,50,-0.418,0.557
6,126,xsect,xret,all,long_short,1763,0.086,49,-0.353,0.567
6,126,xsect,xret,all,long_only,1763,0.204,51,-0.219,0.631
6,126,xsect,xret,pre2021,long_short,380,0.575,54,-0.583,1.69
6,126,xsect,xret,pre2021,long_only,380,1.015,62,-0.026,2.074
6,126,xsect,xret,post2021,long_short,1383,-0.048,47,-0.53,0.445
6,126,xsect,xret,post2021,long_only,1383,-0.018,48,-0.423,0.403
6,126,xsect,spyx,all,long_short,1763,0.086,49,-0.353,0.567
